BR001,2025-09-01,2025-09-15,2025-09-15,RD001,ST001
BR002,2025-09-05,2025-09-19,2025-09-25,RD002,ST002
BR003,2025-09-10,2025-09-24,2025-09-24,RD003,ST003
BR004,2025-09-15,2025-09-29,,RD004,ST004
BR005,2025-09-20,2025-10-04,2025-10-04,RD005,ST005
BR006,2025-09-25,2025-10-09,,RD006,ST006
BR007,2025-10-01,2025-10-15,2025-10-18,RD007,ST007
BR008,2025-10-05,2025-10-19,,RD008,ST008
BR009,2025-10-10,2025-10-24,2025-10-24,RD009,ST009
BR010,2025-10-15,2025-10-29,,RD010,ST010
BR011,2025-10-18,2025-11-01,2025-11-01,RD011,ST011
BR012,2025-10-20,2025-11-03,,RD012,ST012
BR013,2025-10-22,2025-11-05,2025-11-08,RD013,ST013
BR014,2025-10-23,2025-11-06,,RD014,ST014
BR015,2025-10-24,2025-11-07,2025-11-07,RD015,ST015
BR016,2025-10-25,2025-11-08,,RD016,ST016
BR017,2025-10-26,2025-11-09,2025-11-15,RD017,ST017
BR018,2025-10-27,2025-11-10,2025-11-10,RD018,ST018
BR019,2025-10-28,2025-11-11,,RD019,ST019
BR020,2025-10-29,2025-11-12,,RD020,ST020
BR021,2025-10-29,2025-11-12,,RD021,ST021
