OR001,ST001,2025-08-01,1000000.0,S001
OR002,ST002,2025-08-05,2500000.0,S002
OR003,ST003,2025-08-10,500000.0,S003
OR004,ST004,2025-08-15,1500000.0,S004
OR005,ST005,2025-08-20,700000.0,S005
OR006,ST006,2025-08-25,1200000.0,S006
OR007,ST007,2025-09-01,900000.0,S007
OR008,ST008,2025-09-05,1800000.0,S008
OR009,ST009,2025-09-10,400000.0,S009
OR010,ST010,2025-09-15,2100000.0,S010
OR011,ST011,2025-09-20,1300000.0,S011
OR012,ST012,2025-09-25,950000.0,S012
OR013,ST013,2025-10-01,1600000.0,S013
OR014,ST014,2025-10-05,850000.0,S014
OR015,ST015,2025-10-10,1900000.0,S015
OR016,ST016,2025-10-15,1100000.0,S016
OR017,ST017,2025-10-20,750000.0,S017
OR018,ST018,2025-10-25,2200000.0,S018
OR019,ST019,2025-10-28,1400000.0,S019
OR020,ST020,2025-10-30,1050000.0,S020
