P001,Nhà Xuất Bản Trẻ,Hồ Chí Minh,0281001001
P002,Nhà Xuất Bản Văn Học,Hà Nội,0241002002
P003,Penguin Books,New York,0211003003
P004,Sách Giáo Dục,Hà Nội,0241004004
P005,Alpha Books,Hồ Chí Minh,0281005005
P006,Kim Đồng,Hà Nội,0241006006
P007,HarperCollins,New York,0211007007
P008,Fahasa,Hồ Chí Minh,0281008008
P009,Nhà Xuất Bản Tổng Hợp,Hà Nội,0241009009
P010,NXB Đà Nẵng,Đà Nẵng,0236100000
P011,NXB Lao Động,Hà Nội,0241011011
P012,NXB Phụ Nữ,Hồ Chí Minh,0281012012
P013,NXB Thanh Niên,Hà Nội,0241013013
P014,Random House,London,0201014014
P015,Simon & Schuster,New York,0211015015
P016,NXB Thế Giới,Hà Nội,0241016016
P017,NXB Hội Nhà Văn,Hà Nội,0241017017
P018,Bloomsbury,London,0201018018
P019,NXB Chính Trị,Hà Nội,0241019019
P020,Oxford University Press,Oxford,0191020020
